price,brand,model,year,transmission,mileage,fuelType,tax,mpg,engineSize
31995,hyundi, Santa Fe,2019,Semi-Auto,4223,Diesel,145,39.8,2.2
7700,vauxhall, GTC,2015,Manual,47870,Diesel,125,60.1,2
58990,audi, RS4,2019,Automatic,5151,Petrol,145,29.1,2.9
12999,vw, Scirocco,2016,Automatic,20423,Diesel,30,57.6,2
16990,skoda, Scala,2020,Semi-Auto,3569,Petrol,145,47.1,1
40890,merc, V Class,2019,Automatic,4170,Diesel,145,44.1,2.1
25990,toyota, Prius,2020,Automatic,3,Hybrid,135,64.2,1.8
41980,bmw, M4,2019,Semi-Auto,101,Petrol,145,34,3
25490,toyota, Camry,2019,Automatic,6340,Hybrid,135,52.3,2.5
3491,ford, KA,2012,Manual,85843,Petrol,30,57.7,1.2
13750,vauxhall, Vivaro,2016,Manual,40230,Diesel,160,50.4,1.6
17999,merc, CLS Class,2016,Automatic,47156,Diesel,125,57.7,2.1
46050,vw, Caravelle,2019,Automatic,5000,Diesel,145,33.6,2
20498,vw, Arteon,2018,Semi-Auto,20656,Petrol,145,47.1,2
22750,vw, Shuttle,2018,Manual,31824,Diesel,145,47.1,2
16000,hyundi, I40,2019,Manual,20,Diesel,145,52.3,1.6
6890,hyundi, IX20,2015,Automatic,34878,Petrol,200,43.6,1.6
31269,hyundi, Santa Fe,2019,Automatic,9970,Diesel,145,39.2,2.2
25998,bmw, 6 Series,2017,Semi-Auto,18895,Diesel,145,51.4,3
17999,merc, GL Class,2016,Automatic,11653,Diesel,20,67.3,2.1
37500,merc, S Class,2017,Automatic,12653,Diesel,145,52.3,3
4995,ford, KA,2015,Manual,17041,Petrol,30,57.7,1.2
17950,audi, S3,2015,Manual,48800,Petrol,205,39.8,2
13495,skoda, Yeti,2016,Semi-Auto,13156,Petrol,125,51.4,1.2
5475,ford, Galaxy,2009,Manual,58000,Diesel,200,44.8,1.8
23000,ford, Puma,2020,Manual,363,Petrol,145,50.4,1
18640,ford, Edge,2016,Manual,24105,Diesel,160,48.7,2
41606,audi, A8,2019,Automatic,2117,Diesel,145,40.4,3
10498,merc, SLK,2013,Semi-Auto,44226,Diesel,145,56.5,2
12912,vw, Scirocco,2016,Manual,44015,Diesel,30,53.3,2
20399,merc, CLS Class,2016,Automatic,16107,Diesel,160,51.4,3
20999,skoda, Kamiq,2019,Semi-Auto,3597,Petrol,145,44.1,1.5
21998,merc, CLS Class,2016,Semi-Auto,29306,Diesel,160,51.4,3
49950,audi, RS6,2016,Semi-Auto,22500,Petrol,325,29.4,4
18995,toyota, Prius,2017,Automatic,20828,Hybrid,135,94.1,1.8
16490,skoda, Scala,2019,Automatic,510,Diesel,145,54.3,1.6
11850,vw, Scirocco,2016,Manual,40000,Petrol,125,52.3,1.4
26090,vw, Arteon,2019,Semi-Auto,5101,Diesel,145,50.4,2
15650,skoda, Scala,2019,Manual,1149,Petrol,145,49.6,1
17800,toyota, Prius,2017,Automatic,33710,Hybrid,135,94.1,1.8
17590,merc, CLA Class,2017,Automatic,53159,Diesel,125,58.9,2.1
14495,vw, Caravelle,2006,Manual,106000,Diesel,325,34.4,2.5
42995,toyota, Land Cruiser,2019,Semi-Auto,16634,Diesel,145,30.1,2.8
49991,merc, V Class,2019,Automatic,10,Diesel,145,36.7,2
21498,merc, M Class,2015,Semi-Auto,43339,Diesel,200,39.2,2.1
7724,merc, S Class,2009,Automatic,122000,Diesel,325,36.7,3
12995,hyundi, I40,2016,Manual,18340,Diesel,125,60.1,1.7
29990,vw, Arteon,2020,Semi-Auto,2555,Diesel,145,53.3,2
29998,merc, V Class,2018,Semi-Auto,40479,Diesel,145,45.6,2.2
50786,audi, Q8,2019,Automatic,4278,Diesel,145,33.6,3
19948,bmw, i3,2017,Automatic,20929,Hybrid,135,470.8,0
12990,toyota, Verso,2017,Semi-Auto,19807,Petrol,200,42.8,1.8
16999,hyundi, Santa Fe,2016,Automatic,20960,Diesel,235,42.8,2.2
