Material,Xm,Xp,WLMTO_d,Wcal_d,d_c,COBE
Ag3Ag@Ag,4.44,1.93,31.37,1.1,-3.92,-0.09
Ag3Au@Ag,4.74,2.07,31.19,1.13,-3.86,-0.11
Ag3Co@Ag,4.4,1.92,30.56,1.19,-3.9,-0.11
Ag3Cr@Ag,4.25,1.86,30.58,1.13,-4.03,-0.12
Ag3Cu@Ag,4.45,1.92,31.43,1.16,-3.99,-0.08
Ag3Ir@Ag,4.65,1.99,30.94,1.22,-3.66,-0.14
Ag3Mn@Ag,4.25,1.83,32.42,1.15,-4.08,-0.12
Ag3Nb@Ag,4.28,1.84,30.14,1.14,-3.89,-0.07
Ag3Ni@Ag,4.43,1.92,31.33,1.2,-3.85,-0.09
Ag3Os@Ag,4.55,1.99,29.94,1.24,-3.74,-0.1
Ag3Pd@Ag,4.44,1.99,31.19,1.13,-3.69,-0.08
Ag3Pt@Ag,4.7,2.01,31.05,1.18,-3.68,-0.12
Ag3Ru@Ag,4.38,1.99,30.09,1.18,-3.65,-0.11
Ag3Sc@Ag,4.15,1.77,30.24,1.06,-4.02,-0.05
Ag3Ta@Ag,4.36,1.81,30.02,1.21,-3.98,-0.02
Ag3Ti@Ag,4.17,1.82,30.26,1.09,-4.01,-0.1
Ag3V@Ag,4.22,1.85,30.53,1.13,-3.98,-0.12
Ag3W@Ag,4.43,2.03,30.03,1.24,-3.89,-0.03
Au3Ag@Au,5.4,2.37,46.62,1.37,-3.17,-0.21
Au3Au@Au,5.77,2.54,46.4,1.41,-3.18,-0.26
Au3Cu@Au,5.42,2.36,46.67,1.48,-3.34,-0.17
Au3Pd@Au,5.41,2.45,46.39,1.43,-2.99,-0.3
Au3Pt@Au,5.72,2.47,46.22,1.47,-3.02,-0.36
Cu3Ag@Cu,4.48,1.91,24.88,0.96,-2.09,-0.7
Cu3Au@Cu,4.78,2.04,24.7,1.02,-2.11,-0.72
Cu3Co@Cu,4.43,1.89,24.14,1.07,-2.19,-0.63
Cu3Cr@Cu,4.28,1.84,24.12,1.01,-2.36,-0.66
Cu3Cu@Cu,4.49,1.9,24.98,1.06,-2.26,-0.63
Cu3Ir@Cu,4.69,1.97,24.45,1.1,-2.09,-0.72
Cu3La@Cu,4.17,1.66,23.41,0.86,-2.16,-0.6
Cu3Mn@Cu,4.28,1.81,25.83,1.01,-2.38,-0.63
Cu3Mo@Cu,4.34,1.96,23.68,1.03,-2.27,-0.48
Cu3Nb@Cu,4.32,1.82,23.64,0.99,-2.36,-0.51
Cu3Ni@Cu,4.47,1.9,24.88,1.07,-2.15,-0.66
Cu3Os@Cu,4.59,1.97,23.44,1.13,-2.23,-0.65
Cu3Pd@Cu,4.48,1.97,24.71,1.01,-1.94,-0.7
Cu3Pt@Cu,4.74,1.99,24.56,1.07,-1.97,-0.74
Cu3Re@Cu,4.37,1.9,23.28,1.13,-2.31,-0.49
Cu3Rh@Cu,4.44,1.99,24.58,1.04,-1.98,-0.72
Cu3Ru@Cu,4.42,1.97,23.61,1.04,-2.04,-0.67
Cu3Sc@Cu,4.18,1.75,23.73,0.91,-2.38,-0.51
Cu3Ta@Cu,4.39,1.79,23.51,1.03,-2.47,-0.49
Cu3Ti@Cu,4.21,1.8,23.77,0.97,-2.45,-0.52
Cu3V@Cu,4.26,1.83,24.06,1,-2.34,-0.65
Cu3W@Cu,4.47,2.01,23.52,1.08,-2.38,-0.46
Cu3Y@Cu,4.15,1.7,23.31,0.9,-2.31,-0.49
Cu3Zr@Cu,4.23,1.74,23.26,0.93,-2.39,-0.56
Ni3Ag@Ni,4.41,1.91,33.75,1.22,-1.1,-1.62
Ni3Au@Ni,4.71,2.05,33.53,1.27,-1.12,-1.68
Ni3Co@Ni,4.37,1.9,32.79,1.36,-1.42,-1.47
Ni3Cr@Ni,4.22,1.84,32.79,1.33,-1.31,-1.53
Ni3Cu@Ni,4.42,1.91,33.85,1.29,-1.19,-1.52
Ni3Ir@Ni,4.62,1.98,33.22,1.37,-1.3,-1.58
Ni3La@Ni,4.1,1.66,31.98,1.07,-0.75,-1.47
Ni3Mo@Ni,4.27,1.97,32.27,1.37,-1.52,-1.36
Ni3Nb@Ni,4.25,1.83,32.23,1.34,-1.49,-1.35
Ni3Ni@Ni,4.4,1.91,33.73,1.33,-1.32,-1.52
Ni3Os@Ni,4.52,1.98,31.96,1.43,-1.45,-1.44
Ni3Pd@Ni,4.41,1.98,33.53,1.27,-1.2,-1.61
Ni3Pt@Ni,4.67,2,33.36,1.33,-1.25,-1.65
Ni3Re@Ni,4.3,1.91,31.77,1.46,-1.59,-1.34
Ni3Rh@Ni,4.37,2,33.37,1.32,-1.3,-1.56
Ni3Ru@Ni,4.35,1.98,32.16,1.32,-1.33,-1.52
Ni3Sc@Ni,4.12,1.75,32.34,1.18,-0.94,-1.47
Ni3Ta@Ni,4.33,1.8,32.07,1.4,-1.54,-1.33
